Country Name,Country Code,Region,IncomeGroup,Year,Undernourishment %,CO2 (tons),Health Expenditure %,Education Expenditure %,Unemployment %,Injuries,Communicable,NonCommunicable,daly,Life Expectancy
Indonesia,IDN,East Asia & Pacific,Lower middle income,2001,19,302060,2,2,6,6996569,30881627,41520805,79399001,66
India,IND,South Asia,Lower middle income,2001,18,953540,4,5,6,54362219,268564610,192785014,515711843,63
Ireland,IRL,Europe & Central Asia,High income,2001,2,44820,6,4,4,105279,61994,897172,1064445,77
Iraq,IRQ,Middle East & North Africa,Upper middle income,2001,22,97550,5,5,9,1610735,3266448,4631995,9509178,69
Iceland,ISL,Europe & Central Asia,High income,2001,2,2160,9,7,2,6372,3218,55518,65108,81
Israel,ISR,Middle East & North Africa,High income,2001,2,57950,7,6,12,176917,93002,1193384,1463303,79
Italy,ITA,Europe & Central Asia,High income,2001,2,436570,8,5,10,1447045,614698,15411337,17473080,80
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2001,7,10080,5,5,15,62811,153496,479581,695888,74
Jordan,JOR,Middle East & North Africa,Upper middle income,2001,10,16250,10,5,15,138591,260139,723810,1122540,72
Japan,JPN,East Asia & Pacific,High income,2001,2,1170380,7,3,5,3740899,1971391,27958110,33670400,81
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2001,6,117440,3,5,10,1132464,999215,4461248,6592927,66
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,32,7610,5,5,3,796122,16737067,3793539,21326728,51
Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,24,2150,7,2,1,575530,3831903,2432916,6840349,59
Kiribati,KIR,East Asia & Pacific,Lower middle income,2001,4,30,12,12,4,3943,19723,27856,51522,63
Kuwait,KWT,Middle East & North Africa,High income,2001,3,53190,3,7,1,47194,37550,260456,345200,73
Lebanon,LBN,Middle East & North Africa,Lower middle income,2001,8,16890,11,3,8,96063,156408,757768,1010239,75
Liberia,LBR,Sub-Saharan Africa,Low income,2001,37,450,3,5,2,127483,2142155,468017,2737655,52
Libya,LBY,Middle East & North Africa,Upper middle income,2001,2,44450,4,5,20,189689,224136,793358,1207183,71
Sri Lanka,LKA,South Asia,Lower middle income,2001,17,10850,4,5,8,1058850,875560,3538580,5472990,72
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2001,20,400,7,9,35,129978,1373764,360118,1863860,46
Lithuania,LTU,Europe & Central Asia,High income,2001,2,11150,6,6,17,281788,65951,1045816,1393555,72
Luxembourg,LUX,Europe & Central Asia,High income,2001,2,9120,6,4,2,12963,5467,107770,126200,78
Latvia,LVA,Europe & Central Asia,High income,2001,5,7360,6,5,14,193981,54543,828551,1077075,71
Morocco,MAR,Middle East & North Africa,Lower middle income,2001,6,36270,4,5,12,1368871,3697987,5558595,10625453,69
Monaco,MCO,Europe & Central Asia,High income,2001,2,10,2,5,4,894,504,11108,12506,75
Moldova,MDA,Europe & Central Asia,Upper middle income,2001,2,7020,6,5,7,232795,159858,1255904,1648557,67
Madagascar,MDG,Sub-Saharan Africa,Low income,2001,34,1670,5,3,5,470651,7463686,2701578,10635915,59
Maldives,MDV,South Asia,Upper middle income,2001,2,480,8,5,3,6566,22521,41714,70801,71
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,3,378830,5,4,3,3591743,5739025,16682733,26013501,75
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2001,2,110,16,5,4,2622,6231,11007,19860,75
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2001,8,8920,8,5,31,75059,47317,575030,697406,73
Mali,MLI,Sub-Saharan Africa,Low income,2001,16,1610,5,3,6,636033,10054240,2017489,12707762,49
Malta,MLT,Middle East & North Africa,High income,2001,2,2490,7,5,7,8172,5657,91973,105802,79
Myanmar,MMR,East Asia & Pacific,Lower middle income,2001,38,8350,2,5,1,2642483,13438453,11950793,28031729,60
Montenegro,MNE,Europe & Central Asia,Upper middle income,2001,10,1670,5,5,29,24946,14377,162647,201970,73
Mongolia,MNG,East Asia & Pacific,Lower middle income,2001,31,8970,4,5,6,151574,311492,596024,1059090,63
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2001,2,10,5,5,4,2938,2380,12207,17525,75
Mozambique,MOZ,Sub-Saharan Africa,Low income,2001,36,1410,3,5,3,727102,14740275,2789224,18256601,49
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2001,8,1400,4,2,10,104174,952086,394271,1450531,61
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2001,6,2570,3,3,9,31586,43198,278067,352851,72
Malawi,MWI,Sub-Saharan Africa,Low income,2001,24,680,2,5,6,405908,10740293,1955136,13101337,45
Malaysia,MYS,East Asia & Pacific,Upper middle income,2001,2,129460,3,7,4,675011,1040203,3668020,5383234,73
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2001,14,2460,10,7,21,99919,901325,308421,1309665,51
Niger,NER,Sub-Saharan Africa,Low income,2001,2,670,5,2,1,578147,12699016,2029329,15306492,51
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2001,9,101950,3,5,4,4401974,102340440,21881705,128624119,47
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2001,28,3930,5,5,7,168251,372629,679354,1220234,70
Netherlands,NLD,Europe & Central Asia,High income,2001,2,167120,8,5,2,328011,241783,3924951,4494745,78
Norway,NOR,Europe & Central Asia,High income,2001,2,34720,8,7,4,126947,61442,1128969,1317358,79
Nepal,NPL,South Asia,Lower middle income,2001,24,3460,4,4,2,847450,6570764,3917088,11335302,63
Nauru,NRU,East Asia & Pacific,High income,2001,2,80,16,5,4,808,1606,2878,5292,75
New Zealand,NZL,East Asia & Pacific,High income,2001,2,31620,8,7,5,150122,43016,848323,1041461,79
Oman,OMN,Middle East & North Africa,High income,2001,12,28030,3,4,4,134320,87948,336892,559160,73
Pakistan,PAK,South Asia,Lower middle income,2001,21,99840,3,5,1,4281933,58084619,27319818,89686370,63
Panama,PAN,Latin America & Caribbean,High income,2001,24,6220,7,4,4,97752,154317,436296,688365,75
Peru,PER,Latin America & Caribbean,Upper middle income,2001,22,26540,5,3,5,1024200,2402121,3770041,7196362,72
Philippines,PHL,East Asia & Pacific,Lower middle income,2001,19,70480,3,3,4,2887546,9955777,13181818,26025141,69
Palau,PLW,East Asia & Pacific,Upper middle income,2001,2,220,8,8,4,1206,1314,5206,7726,75
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2001,26,3390,2,5,3,259964,1514583,1114225,2888772,59
Poland,POL,Europe & Central Asia,High income,2001,2,293630,6,5,18,1736921,592230,10233665,12562816,74
Puerto Rico,PRI,Latin America & Caribbean,High income,2001,2,10,5,5,11,137923,138334,863737,1139994,77
Portugal,PRT,Europe & Central Asia,High income,2001,2,61380,9,5,4,336955,237045,2897530,3471530,77
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2001,10,3610,6,4,6,175296,358854,759228,1293378,71
Qatar,QAT,Middle East & North Africa,High income,2001,2,28650,2,3,1,28021,15181,86439,129641,78
Romania,ROU,Europe & Central Asia,High income,2001,2,95230,4,3,7,1013548,737649,6958881,8710078,71
Rwanda,RWA,Sub-Saharan Africa,Low income,2001,38,560,4,5,1,622885,5434699,1375114,7432698,50
Saudi Arabia,SAU,Middle East & North Africa,High income,2001,5,254090,4,8,5,1154674,982641,3255472,5392787,73
Sudan,SDN,Sub-Saharan Africa,Low income,2001,22,6250,3,5,15,1607027,9538031,6011769,17156827,59
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2001,24,4460,4,2,6,319771,4508804,1639503,6468078,58
Singapore,SGP,East Asia & Pacific,High income,2001,2,42030,3,4,4,84897,63746,602138,750781,78
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2001,13,250,7,5,2,30629,99376,121254,251259,68
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2001,51,440,11,3,3,215749,3974083,919964,5109796,40
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2001,7,5870,9,5,7,448030,387285,950453,1785768,69
San Marino,SMR,Europe & Central Asia,High income,2001,2,10,6,5,4,622,330,6033,6985,75
Somalia,SOM,Sub-Saharan Africa,Low income,2001,71,510,5,5,19,578729,8492605,1721711,10793045,51
Serbia,SRB,Europe & Central Asia,Upper middle income,2001,3,45000,7,5,13,384910,202802,3046386,3634098,72
South Sudan,SSD,Sub-Saharan Africa,Low income,2001,2,530,5,5,12,321246,4801855,1053776,6176877,50
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2001,15,50,11,5,16,3361,39263,24499,67123,62
Suriname,SUR,Latin America & Caribbean,Upper middle income,2001,12,1520,4,5,12,19664,52181,92625,164470,68
Slovenia,SVN,Europe & Central Asia,High income,2001,2,15380,8,6,6,104447,27473,516992,648912,76
Sweden,SWE,Europe & Central Asia,High income,2001,2,52500,8,7,5,234812,100824,2289027,2624663,80
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2001,10,610,5,5,25,65303,725190,180151,970644,46
Seychelles,SYC,Sub-Saharan Africa,High income,2001,2,320,5,5,4,2618,3908,17382,23908,73
Chad,TCD,Sub-Saharan Africa,Low income,2001,39,340,5,2,1,428256,7738498,1490870,9657624,48
Togo,TGO,Sub-Saharan Africa,Low income,2001,31,1180,3,4,4,190442,2816445,765885,3772772,54
Thailand,THA,East Asia & Pacific,Upper middle income,2001,17,173160,3,5,3,3853837,4314044,11879825,20047706,71
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2001,2,2150,5,2,15,250408,1135772,1064911,2451091,63
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2001,7,39120,8,5,11,168597,535315,850293,1554205,64
Tonga,TON,East Asia & Pacific,Upper middle income,2001,2,90,4,4,4,2333,6969,18837,28139,70
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2001,10,11620,4,3,11,48363,79780,299839,427982,70
Tunisia,TUN,Middle East & North Africa,Lower middle income,2001,4,21570,5,6,14,334001,452897,1755918,2542816,73
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2001,2,10,19,5,4,442,977,2805,4224,75
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2001,33,3130,4,5,3,1057619,23531448,5500812,30089879,51
Uganda,UGA,Sub-Saharan Africa,Low income,2001,2,1300,5,5,3,912794,20173729,3704970,24791493,47
Ukraine,UKR,Europe & Central Asia,Lower middle income,2001,3,300550,6,5,11,3794205,1475901,18914355,24184461,68
Uruguay,URY,Latin America & Caribbean,High income,2001,4,4950,10,3,15,132066,98023,813402,1043491,75
United States,USA,North America,High income,2001,2,5748260,13,5,5,9309466,5130330,75084511,89524307,77
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2001,18,125700,6,5,11,1069725,2865792,5317644,9253161,67
Vietnam,VNM,East Asia & Pacific,Lower middle income,2001,20,56720,5,5,3,2704748,5466481,12763734,20934963,73
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2001,8,90,3,9,2,9317,27166,40981,77464,68
Samoa,WSM,East Asia & Pacific,Lower middle income,2001,4,160,4,4,5,6181,9354,35418,50953,69
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2001,4,320540,8,5,31,4151726,19716730,9140684,33009140,55
Zambia,ZMB,Sub-Saharan Africa,Low income,2001,2,1840,7,5,14,391891,9409758,1678493,11480142,45
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2001,2,13900,5,5,5,415710,8698108,1641713,10755531,44
Afghanistan,AFG,South Asia,Low income,2002,46,1030,9,5,11,1946984,9858325,5871596,17676905,57
Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,63,15690,3,5,4,1218390,11126181,2725500,15070071,48
Albania,ALB,Europe & Central Asia,Upper middle income,2002,6,3760,7,3,18,111170,128987,544332,784489,75
Andorra,AND,Europe & Central Asia,High income,2002,2,530,6,2,4,1714,701,13965,16380,75
United Arab Emirates,ARE,Middle East & North Africa,High income,2002,4,99150,3,5,3,152185,67065,507749,726999,75
Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,4,117470,7,4,20,1399269,1557397,8194862,11151528,74
Armenia,ARM,Europe & Central Asia,Upper middle income,2002,24,3120,8,2,11,98830,115371,774712,988913,72
American Samoa,ASM,East Asia & Pacific,Upper middle income,2002,2,10,5,5,4,1665,2864,10933,15462,75
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2002,2,390,5,3,4,2182,3199,14520,19901,74
Australia,AUS,East Asia & Pacific,High income,2002,2,353370,8,5,6,612146,208508,4204337,5024991,80
Austria,AUT,Europe & Central Asia,High income,2002,2,69370,9,6,5,239074,77003,2109744,2425821,79
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2002,13,26180,3,3,10,232759,872913,1853917,2959589,67
Burundi,BDI,Sub-Saharan Africa,Low income,2002,2,210,6,3,2,1282395,4951644,1112144,7346183,51
Belgium,BEL,Europe & Central Asia,High income,2002,2,110850,8,5,7,393262,161839,2717179,3272280,78
Benin,BEN,Sub-Saharan Africa,Lower middle income,2002,16,2180,3,2,1,298954,4186075,1223108,5708137,56
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2002,20,960,3,5,3,552453,10154459,2468440,13175352,51
Bangladesh,BGD,South Asia,Lower middle income,2002,15,27430,2,2,4,4902788,28077045,20912716,53892549,66
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2002,4,43600,7,3,18,366484,174907,3104930,3646321,72
Bahrain,BHR,Middle East & North Africa,High income,2002,2,17220,4,5,1,19516,15208,111237,145961,75
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2002,3,14560,7,5,28,137892,74760,1005345,1217997,75
Belarus,BLR,Europe & Central Asia,Upper middle income,2002,3,51840,6,5,11,857464,223663,3764341,4845468,68
Belize,BLZ,Latin America & Caribbean,Upper middle income,2002,5,520,5,5,10,13479,20003,39082,72564,69
Bermuda,BMU,North America,High income,2002,2,10,5,5,4,1250,1576,13602,16428,78
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2002,27,8300,5,5,2,428704,1530579,1609824,3569107,64
Brazil,BRA,Latin America & Caribbean,Upper middle income,2002,9,317760,9,4,9,9428324,13536489,36873445,59838258,71
Barbados,BRB,Latin America & Caribbean,High income,2002,6,1370,6,6,10,6727,11385,62555,80667,78
Bhutan,BTN,South Asia,Lower middle income,2002,2,240,5,5,2,22169,142738,107126,272033,63
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2002,24,4030,6,5,21,113397,1304801,325820,1744018,50
Central African Republic,CAF,Sub-Saharan Africa,Low income,2002,40,250,4,2,6,317535,3668952,762352,4748839,44
Canada,CAN,North America,High income,2002,2,524350,9,5,8,820102,375368,6743004,7938474,79
Switzerland,CHE,Europe & Central Asia,High income,2002,2,43570,10,5,3,243624,81585,1737453,2062662,80
Chile,CHL,Latin America & Caribbean,High income,2002,3,49120,7,4,10,518229,311721,2864362,3694312,77
China,CHN,East Asia & Pacific,Upper middle income,2002,9,3810060,4,5,4,46328147,45512557,278438272,370278976,72
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2002,21,6840,6,3,5,745149,12966204,2841395,16552748,49
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2002,21,5130,4,5,7,641882,10218244,2628193,13488319,52
Colombia,COL,Latin America & Caribbean,Upper middle income,2002,9,56770,6,4,14,3705299,2237465,6464896,12407660,74
Comoros,COM,Sub-Saharan Africa,Lower middle income,2002,2,110,7,2,5,19697,218053,92557,330307,60
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2002,5,5520,7,5,6,114124,102451,596359,812934,78
Cuba,CUB,Latin America & Caribbean,Upper middle income,2002,2,26420,7,10,3,350332,262306,2339264,2951902,77
Cyprus,CYP,Europe & Central Asia,High income,2002,6,7170,6,6,3,27942,11031,200501,239474,78
Germany,DEU,Europe & Central Asia,High income,2002,2,833380,10,5,8,2033519,883231,23252238,26168988,78
Djibouti,DJI,Middle East & North Africa,Lower middle income,2002,41,400,4,8,28,25571,311079,101464,438114,57
Dominica,DMA,Latin America & Caribbean,Upper middle income,2002,4,120,5,5,4,2405,3533,17792,23730,77
Denmark,DNK,Europe & Central Asia,High income,2002,2,53840,9,8,4,144992,71416,1522892,1739300,77
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2002,23,20880,5,2,7,339447,1026378,1378544,2744369,70
Algeria,DZA,Middle East & North Africa,Lower middle income,2002,7,82400,4,5,26,1553845,2069328,5508249,9131422,72
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2002,23,24170,4,5,5,628775,1091789,2005860,3726424,73
Eritrea,ERI,Sub-Saharan Africa,Low income,2002,2,680,7,4,6,248898,2000275,685460,2934633,56
Spain,ESP,Europe & Central Asia,High income,2002,2,312750,7,4,11,1110106,564219,10208136,11882461,80
Estonia,EST,Europe & Central Asia,High income,2002,4,14950,5,5,10,98589,28266,466800,593655,71
Ethiopia,ETH,Sub-Saharan Africa,Low income,2002,44,4570,5,4,3,3211296,45180581,10885862,59277739,53
Finland,FIN,Europe & Central Asia,High income,2002,2,63440,8,6,10,220739,63244,1329374,1613357,78
Fiji,FJI,East Asia & Pacific,Upper middle income,2002,4,880,3,6,4,26621,60187,197961,284769,66
France,FRA,Europe & Central Asia,High income,2002,2,371020,10,5,9,2178503,824698,14307988,17311189,79
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2002,12,5960,3,5,17,53115,444351,237594,735060,58
United Kingdom,GBR,Europe & Central Asia,High income,2002,2,530790,8,5,5,1257323,1084667,16430130,18772120,78
Georgia,GEO,Europe & Central Asia,Upper middle income,2002,6,2960,8,2,13,152811,194954,1451967,1799732,70
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2002,14,7430,3,5,9,610540,8511643,3276310,12398493,57
Guinea,GIN,Sub-Saharan Africa,Low income,2002,2,1630,5,3,5,362930,5843854,1638079,7844863,51
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2002,2,150,6,5,6,79388,869715,258161,1207264,51
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2002,2,4630,2,5,9,26830,361557,101167,489554,54
Greece,GRC,Europe & Central Asia,High income,2002,2,96600,8,3,10,277646,126268,2890074,3293988,79
Grenada,GRD,Latin America & Caribbean,Upper middle income,2002,2,240,6,5,4,3122,4909,21507,29538,73
Greenland,GRL,Europe & Central Asia,High income,2002,2,10,5,5,4,5014,1779,14839,21632,67
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2002,20,10470,6,5,3,677850,1945987,1800666,4424503,69
Guam,GUM,East Asia & Pacific,High income,2002,2,10,5,5,11,4430,5423,28113,37966,76
Guyana,GUY,Latin America & Caribbean,Upper middle income,2002,6,1620,3,8,12,50078,102838,172268,325184,66
Honduras,HND,Latin America & Caribbean,Lower middle income,2002,21,6090,6,5,4,353288,594411,1061563,2009262,71
Croatia,HRV,Europe & Central Asia,High income,2002,5,20280,6,4,15,188039,71690,1340066,1599795,75
Haiti,HTI,Latin America & Caribbean,Lower middle income,2002,53,1830,3,5,11,572863,2962212,2035117,5570192,58
Hungary,HUN,Europe & Central Asia,High income,2002,2,55600,7,5,6,478037,146306,3529018,4153361,72
Indonesia,IDN,East Asia & Pacific,Lower middle income,2002,19,305640,2,3,7,6843321,30124966,42387112,79355399,66
India,IND,South Asia,Lower middle income,2002,20,985450,4,5,6,52183322,261766675,195575704,509525701,63
Ireland,IRL,Europe & Central Asia,High income,2002,2,43930,7,4,4,104089,59702,896881,1060672,78
Iraq,IRQ,Middle East & North Africa,Upper middle income,2002,21,91160,5,5,9,1628759,3152618,4725486,9506863,69
Iceland,ISL,Europe & Central Asia,High income,2002,2,2240,9,7,3,6193,3168,56104,65465,81
Israel,ISR,Middle East & North Africa,High income,2002,2,61080,7,6,13,221043,94409,1212611,1528063,79
Italy,ITA,Europe & Central Asia,High income,2002,2,443470,8,4,9,1387367,603560,15466012,17456939,80
